Topic,Response
0,"No retail dealer may sell or transfer any pistol or revolver without a license, and the relevant information must be forwarded to the National Tracing Center in the federal Bureau of Alcohol, Tobacco, and Firearms."
1,"Licensed importers, manufacturers, and dealers must wait 30 days after notification from the Attorney General before transferring firearms to any non-licensed persons."
2,"The sale of a firearm without a federal instant background check is a class A misdemeanor, and it is illegal to give or lend a handgun to a minor."
3,"A valid license can be issued for hunting, target shooting, and self-defense purposes by court justices, police boards, mayors, selectmen, or the commissioner of public safety."
4,"Selling Saturday night special pistols is a gross misdemeanor, and “family or household members” includes persons in a significant romantic or sexual relationship."
5,Selling firearms without a valid license in Hawaii is a misdemeanor punishable by a $10 fee.
6,"Whoever recklessly stores or leaves a loaded firearm within reach of a child can be found guilty of a Class A misdemeanor, and face relief in an order for protection if the child causes bodily harm or death to themselves or others."
7,"Purchasing of antique cannons, rifles, and shotguns is prohibited, and applications for permits to purchase handguns and firearms purchaser identification cards must be in the form prescribed by the b."
8,"A person under 18 years of age is guilty of unlawful possession of a handgun if they possess, manufacture, or transport it."
9,"A court may issue an ex parte gun violence restraining order if a petition, affidavit and additional information show substantial likelihood of person's danger."
10,"A person shall not possess a firearm if they have entered a plea of guilty but mentally ill, and must report the loss or theft of any firearm or dangerous ordnance to law enforcement immediately."
11,The common law castle doctrine in the US established that a person attacked in their home had the right to use deadly force if they reasonably believed it necessary to protect themselves.
12,"A licensing authority may grant a permit to purchase, rent, or lease firearms to adults, and the state has the authority to regulate firearms and knives, while municipalities may not."
13,"The State has preempted all firearm regulation, prohibiting political subdivisions from enacting any related ordinances."
14,"No person may carry a pistol or revolver, possess a dangerous weapon, firearm, or short barreled shotgun, in any vehicle or on or about their person on school premises without a license or permit."
15,"Peace officers must arrest and charge a person suspected of committing a family violence crime, regardless of victim consent, relationship between suspects, or victim's request."
16,A person who intentionally or recklessly stores or leaves a loaded firearm within reach or easy access of a minor is guilty of unlawfully permitting access.
17,"A firearms dealer must obtain a completed statement of intent, inspect proof of identity, and request a records check before transferring any handgun."
18,"Any person who knowingly and intentionally sells, delivers, or transfers a firearm in violation of this section commits a misdemeanor of the second degree."
19,Individuals with valid concealable weapons licenses are exempt from handgun carrying restrictions.
20,A judge may grant up to one year permission to carry a concealed pistol or revolver to U.S. citizens who have submitted a petition to the district court clerk.
21,Whoever sells or furnishes firearms to minors under the age of 15 will be fined between $100 and $500.
22,"No handgun shall be delivered to any person without a valid permit to purchase a firearm and at least seven days have elapsed, nor shall any pistol or revolver be delivered within five days of application."
23,"No person or organization may sell, purchase, or repair firearms, destructive devices, parts, or ammunition without a dealer's license; registrants must comply with all duties imposed by this act."
24,"It is illegal for any licensed importer, manufacturer, or dealer to sell, deliver, or transfer handguns to unlicensed individuals 90 days after the enactment of this subsection."
25,"Any person who sells, barters, gives, or furnishes a handgun to a minor, having good cause to believe them to be a minor, is guilty of a Class 6 felony, and must undergo a criminal history background check."
26,The court may enter temporary orders to protect the plaintiff or minor child from abuse and may direct the defendant not to possess a firearm or other dangerous weapon.
27,"Minors under eighteen cannot possess or carry deadly weapons, except on their own or family premises or with parental/guardian permission."
28,"A person commits the offense of unlawful use of weapons when they carry or possess a pistol or revolver in any vehicle, or concealed on or about their person, unless on their own land or in their own abode, legal dwelling or fixed place of business."
29,"A protective order is a restraining order issued ex parte, after notice and hearing, or in a judgment, and prohibits a person subject to the order from owning, possessing, purchasing, or receiving firearms or ammunition while in effect."
